datetime_utc,actual_solar_MW,forecast_solar_MW,actual_wind_MW,forecast_wind_MW,actual_total_MW,forecast_total_MW
2025-10-03 06:00:00+00:00,2360.0,610.003361458956,1764.0,1506.2396925187854,4124.0,2116.2430539777415
2025-10-03 07:00:00+00:00,3515.0,935.5460384477676,1660.0,1615.060571070943,5175.0,2550.6066095187107
2025-10-03 08:00:00+00:00,3811.0,3046.1843546543614,1462.0,1533.6795198681284,5273.0,4579.86387452249
2025-10-03 09:00:00+00:00,3770.0,3213.212416507061,1349.0,1588.3892956407112,5119.0,4801.601712147773
2025-10-03 10:00:00+00:00,3857.0,3290.3350074652385,1393.0,1407.226795856458,5250.0,4697.561803321696
2025-10-03 11:00:00+00:00,3730.0,3301.168249118659,1390.0,1353.0022391627124,5120.0,4654.170488281371
2025-10-03 12:00:00+00:00,3370.0,3122.0005117778214,1520.0,1444.6760727448998,4890.0,4566.676584522721
2025-10-03 13:00:00+00:00,2740.0,2780.631828870615,1654.0,1455.9563073225793,4394.0,4236.588136193194
2025-10-03 14:00:00+00:00,1574.0,1269.2850658782036,1997.0,1417.7947471120701,3571.0,2687.0798129902737
2025-10-03 15:00:00+00:00,368.0,235.3841488637338,1945.0,1205.1006844076142,2313.0,1440.484833271348
2025-10-03 16:00:00+00:00,0.0,2.1529339216400114,1764.0,1079.183412962122,1764.0,1081.336346883762
2025-10-03 17:00:00+00:00,0.0,0.0250291620053587,1710.0,1173.8969906935358,1710.0,1173.9220198555413
2025-10-03 18:00:00+00:00,0.0,0.010567525194861442,1588.0,1113.8743221513032,1588.0,1113.884889676498
2025-10-03 19:00:00+00:00,0.0,0.008406716849076058,1560.0,1151.2581957578998,1560.0,1151.2666024747489
2025-10-03 20:00:00+00:00,0.0,0.005977871068848676,1575.0,1314.5655164822967,1575.0,1314.5714943533656
2025-10-03 21:00:00+00:00,0.0,0.005977871068848676,1516.0,1316.459043436566,1516.0,1316.4650213076347
2025-10-03 22:00:00+00:00,0.0,0.005779898760402643,1510.0,1652.5208079908555,1510.0,1652.526587889616
2025-10-03 23:00:00+00:00,0.0,0.005573052587137416,1511.0,1350.3897734010231,1511.0,1350.3953464536103
2025-10-04 00:00:00+00:00,0.0,0.005573052587137416,1436.0,1103.1586761468984,1436.0,1103.1642491994855
2025-10-04 01:00:00+00:00,0.0,0.005573052587137416,1357.0,1163.363085860113,1357.0,1163.3686589127
2025-10-04 02:00:00+00:00,0.0,0.0057244004185496,1155.0,1090.0557353468962,1155.0,1090.0614597473148
2025-10-04 03:00:00+00:00,0.0,0.03666135771814825,1020.0,1246.61764210894,1020.0,1246.6543034666581
2025-10-04 04:00:00+00:00,53.0,53.791096136314806,995.0,846.3202254593831,1048.0,900.1113215956979
2025-10-04 05:00:00+00:00,1019.0,1230.6233825569666,820.0,641.7441840939971,1839.0,1872.3675666509637
2025-10-04 06:00:00+00:00,2912.0,2617.9763973766962,699.0,412.3443330760226,3611.0,3030.3207304527186
2025-10-04 07:00:00+00:00,4131.0,3399.501485016954,590.0,574.2888119226686,4721.0,3973.7902969396227
